period,finalinventory,flow,safetyratio,unitdeviation,deviationfromsafetyratio
t_1,3441.0,2375.0,1.45,121.5,0.05
t_2,3571.7,2375.0,1.5,9.2,0.0
t_3,3671.1,2501.0,1.47,80.4,0.03
t_4,3744.4,2560.0,1.46,95.6,0.04
t_5,3743.0,2640.0,1.42,217.0,0.08
t_6,3721.4,2648.0,1.41,250.6,0.09
t_7,3680.1,2573.0,1.43,179.4,0.07
t_8,3656.1,2503.0,1.46,98.4,0.04
t_9,3637.4,2445.0,1.49,30.1,0.01
t_10,3608.5,2420.0,1.49,21.5,0.01
t_11,3607.4,2386.0,1.51,28.4,0.01
t_12,3581.1,2425.0,1.48,56.4,0.02
t_13,3636.4,2401.0,1.51,34.9,0.01
t_14,3802.4,2385.0,1.59,224.9,0.09
t_15,3936.1,2512.0,1.57,168.1,0.07
t_16,3903.5,2773.0,1.41,256.0,0.09
t_17,3896.2,2773.0,1.41,263.3,0.09
t_18,3970.2,2638.0,1.51,13.2,0.01
t_19,3983.1,2701.0,1.47,68.4,0.03
t_20,4012.8,2638.0,1.52,55.8,0.02
t_21,4036.0,2701.0,1.49,15.5,0.01
t_22,4027.5,2638.0,1.53,70.5,0.03
t_23,4003.0,2701.0,1.48,48.5,0.02
t_24,3955.3,2638.0,1.5,1.7,0.0
t_25,3930.4,2623.0,1.5,4.1,0.0
t_26,3905.8,2608.0,1.5,6.2,0.0
t_27,3886.6,2593.0,1.5,2.9,0.0
t_28,3870.7,2578.0,1.5,3.7,0.0
t_29,3852.6,2575.0,1.5,9.9,0.0
t_30,3847.3,2569.0,1.5,6.2,0.0
t_31,3839.3,2557.0,1.5,3.8,0.0
t_32,3844.2,2563.0,1.5,0.3,0.0
t_33,3846.6,2566.0,1.5,2.4,0.0
t_34,3842.6,2566.0,1.5,6.4,0.0
t_35,3848.2,2566.0,1.5,0.8,0.0
t_36,3847.3,2566.0,1.5,1.7,0.0
t_37,3812.9,2537.0,1.5,7.4,0.0
t_38,3839.6,2562.0,1.5,3.4,0.0
t_39,3823.8,2552.0,1.5,4.2,0.0
t_40,3801.5,2537.0,1.5,4.0,0.0
t_41,3831.7,2562.0,1.5,11.3,0.0
t_42,3828.9,2537.0,1.51,23.4,0.01
t_43,3849.6,2562.0,1.5,6.6,0.0
t_44,3828.0,2552.0,1.5,0.0,0.0
t_45,3801.1,2537.0,1.5,4.4,0.0
t_46,3819.1,2562.0,1.49,23.9,0.01
t_47,3803.7,2537.0,1.5,1.8,0.0
t_48,3840.8,2562.0,1.5,2.2,0.0
