period,finalinventory,flow,safetyratio,unitdeviation,deviationfromsafetyratio
t_1,3441.0,2375.0,1.45,121.5,0.05
t_2,3571.7,2375.0,1.5,9.2,0.0
t_3,3652.5,2501.0,1.46,99.0,0.04
t_4,3699.6,2560.0,1.45,140.4,0.05
t_5,3672.0,2640.0,1.39,288.0,0.11
t_6,3641.7,2648.0,1.38,330.3,0.12
t_7,3656.7,2573.0,1.42,202.8,0.08
t_8,3712.0,2503.0,1.48,42.5,0.02
t_9,3772.6,2445.0,1.54,105.1,0.04
t_10,3784.5,2420.0,1.56,154.5,0.06
t_11,3795.2,2386.0,1.59,216.2,0.09
t_12,3769.2,2425.0,1.55,131.7,0.05
t_13,3769.5,2401.0,1.57,168.0,0.07
t_14,3864.3,2385.0,1.62,286.8,0.12
t_15,3926.8,2512.0,1.56,158.8,0.06
t_16,3823.0,2773.0,1.38,336.5,0.12
t_17,3813.9,2773.0,1.38,345.6,0.12
t_18,3954.1,2638.0,1.5,2.9,0.0
t_19,3991.1,2701.0,1.48,60.4,0.02
t_20,4016.4,2638.0,1.52,59.4,0.02
t_21,4041.0,2701.0,1.5,10.5,0.0
t_22,4033.9,2638.0,1.53,76.9,0.03
t_23,4016.1,2701.0,1.49,35.4,0.01
t_24,3966.6,2638.0,1.5,9.6,0.0
t_25,3951.4,2623.0,1.51,16.9,0.01
t_26,3946.0,2608.0,1.51,34.0,0.01
t_27,3934.1,2593.0,1.52,44.6,0.02
t_28,3925.6,2578.0,1.52,58.6,0.02
t_29,3933.6,2575.0,1.53,71.1,0.03
t_30,3939.5,2569.0,1.53,86.0,0.03
t_31,3938.9,2557.0,1.54,103.4,0.04
t_32,3957.5,2563.0,1.54,113.0,0.04
t_33,3968.3,2566.0,1.55,119.3,0.05
t_34,3969.2,2566.0,1.55,120.2,0.05
t_35,3985.3,2566.0,1.55,136.3,0.05
t_36,3990.6,2566.0,1.56,141.6,0.06
t_37,3957.4,2537.0,1.56,151.9,0.06
t_38,3993.9,2562.0,1.56,150.9,0.06
t_39,3974.4,2552.0,1.56,146.4,0.06
t_40,3970.0,2537.0,1.56,164.5,0.06
t_41,4027.7,2562.0,1.57,184.7,0.07
t_42,4023.3,2537.0,1.59,217.8,0.09
t_43,4088.6,2562.0,1.6,245.6,0.1
t_44,4094.0,2552.0,1.6,266.0,0.1
t_45,4085.4,2537.0,1.61,279.9,0.11
t_46,4127.9,2562.0,1.61,284.9,0.11
t_47,4100.7,2537.0,1.62,295.2,0.12
t_48,4143.2,2562.0,1.62,300.2,0.12
