variable,ic_name,hub_name,period,flow
xijt,ic_1,hub_3,t_31,173.0
xijt,ic_1,hub_3,t_32,172.0
xijt,ic_1,hub_3,t_33,172.0
xijt,ic_1,hub_3,t_34,172.0
xijt,ic_1,hub_3,t_35,172.0
xijt,ic_1,hub_3,t_36,172.0
xijt,ic_1,hub_3,t_37,170.0
xijt,ic_1,hub_3,t_38,168.0
xijt,ic_1,hub_3,t_39,171.0
xijt,ic_1,hub_3,t_40,169.0
xijt,ic_1,hub_3,t_41,172.0
xijt,ic_1,hub_3,t_42,170.0
xijt,ic_1,hub_3,t_43,168.0
xijt,ic_1,hub_3,t_44,171.0
xijt,ic_1,hub_3,t_45,169.0
xijt,ic_1,hub_3,t_46,172.0
xijt,ic_1,hub_3,t_47,170.0
xijt,ic_1,hub_3,t_48,168.0
xijt,ic_1,hub_4,t_1,0.0
xijt,ic_1,hub_4,t_2,0.0
xijt,ic_1,hub_4,t_3,0.0
xijt,ic_1,hub_4,t_4,0.0
xijt,ic_1,hub_4,t_5,0.0
xijt,ic_1,hub_4,t_6,0.0
xijt,ic_1,hub_4,t_7,0.0
xijt,ic_1,hub_4,t_8,0.0
xijt,ic_1,hub_4,t_9,0.0
xijt,ic_1,hub_4,t_10,0.0
xijt,ic_1,hub_4,t_11,0.0
xijt,ic_1,hub_4,t_12,0.0
xijt,ic_1,hub_4,t_13,0.0
xijt,ic_1,hub_4,t_14,0.0
xijt,ic_1,hub_4,t_15,0.0
xijt,ic_1,hub_4,t_16,0.0
xijt,ic_1,hub_4,t_17,0.0
xijt,ic_1,hub_4,t_18,0.0
xijt,ic_1,hub_4,t_19,0.0
xijt,ic_1,hub_4,t_20,0.0
xijt,ic_1,hub_4,t_21,0.0
xijt,ic_1,hub_4,t_22,0.0
xijt,ic_1,hub_4,t_23,0.0
xijt,ic_1,hub_4,t_24,0.0
xijt,ic_1,hub_4,t_25,0.0
xijt,ic_1,hub_4,t_26,0.0
xijt,ic_1,hub_4,t_27,0.0
xijt,ic_1,hub_4,t_28,0.0
xijt,ic_1,hub_4,t_29,0.0
xijt,ic_1,hub_4,t_30,0.0
xijt,ic_1,hub_4,t_31,0.0
xijt,ic_1,hub_4,t_32,0.0
xijt,ic_1,hub_4,t_33,0.0
xijt,ic_1,hub_4,t_34,0.0
xijt,ic_1,hub_4,t_35,0.0
xijt,ic_1,hub_4,t_36,0.0
xijt,ic_1,hub_4,t_37,0.0
xijt,ic_1,hub_4,t_38,0.0
xijt,ic_1,hub_4,t_39,0.0
xijt,ic_1,hub_4,t_40,0.0
xijt,ic_1,hub_4,t_41,0.0
xijt,ic_1,hub_4,t_42,0.0
xijt,ic_1,hub_4,t_43,0.0
xijt,ic_1,hub_4,t_44,0.0
xijt,ic_1,hub_4,t_45,0.0
xijt,ic_1,hub_4,t_46,0.0
xijt,ic_1,hub_4,t_47,0.0
xijt,ic_1,hub_4,t_48,0.0
xijt,ic_1,hub_5,t_1,0.0
xijt,ic_1,hub_5,t_2,0.0
xijt,ic_1,hub_5,t_3,0.0
xijt,ic_1,hub_5,t_4,0.0
xijt,ic_1,hub_5,t_5,0.0
xijt,ic_1,hub_5,t_6,0.0
xijt,ic_1,hub_5,t_7,0.0
xijt,ic_1,hub_5,t_8,0.0
xijt,ic_1,hub_5,t_9,0.0
xijt,ic_1,hub_5,t_10,0.0
xijt,ic_1,hub_5,t_11,0.0
xijt,ic_1,hub_5,t_12,0.0
xijt,ic_1,hub_5,t_13,0.0
xijt,ic_1,hub_5,t_14,0.0
xijt,ic_1,hub_5,t_15,0.0
xijt,ic_1,hub_5,t_16,0.0
xijt,ic_1,hub_5,t_17,0.0
xijt,ic_1,hub_5,t_18,0.0
xijt,ic_1,hub_5,t_19,0.0
xijt,ic_1,hub_5,t_20,0.0
xijt,ic_1,hub_5,t_21,0.0
xijt,ic_1,hub_5,t_22,0.0
xijt,ic_1,hub_5,t_23,0.0
xijt,ic_1,hub_5,t_24,0.0
xijt,ic_1,hub_5,t_25,0.0
xijt,ic_1,hub_5,t_26,0.0
xijt,ic_1,hub_5,t_27,0.0
xijt,ic_1,hub_5,t_28,0.0
xijt,ic_1,hub_5,t_29,0.0
xijt,ic_1,hub_5,t_30,0.0
xijt,ic_1,hub_5,t_31,0.0
xijt,ic_1,hub_5,t_32,0.0
xijt,ic_1,hub_5,t_33,0.0
xijt,ic_1,hub_5,t_34,0.0
xijt,ic_1,hub_5,t_35,0.0
xijt,ic_1,hub_5,t_36,0.0
xijt,ic_1,hub_5,t_37,0.0
xijt,ic_1,hub_5,t_38,0.0
xijt,ic_1,hub_5,t_39,0.0
xijt,ic_1,hub_5,t_40,0.0
xijt,ic_1,hub_5,t_41,0.0
xijt,ic_1,hub_5,t_42,0.0
xijt,ic_1,hub_5,t_43,0.0
xijt,ic_1,hub_5,t_44,0.0
xijt,ic_1,hub_5,t_45,0.0
xijt,ic_1,hub_5,t_46,0.0
xijt,ic_1,hub_5,t_47,0.0
xijt,ic_1,hub_5,t_48,0.0
xijt,ic_1,hub_6,t_1,0.0
xijt,ic_1,hub_6,t_2,0.0
xijt,ic_1,hub_6,t_3,0.0
xijt,ic_1,hub_6,t_4,0.0
xijt,ic_1,hub_6,t_5,0.0
xijt,ic_1,hub_6,t_6,0.0
xijt,ic_1,hub_6,t_7,0.0
xijt,ic_1,hub_6,t_8,0.0
xijt,ic_1,hub_6,t_9,0.0
xijt,ic_1,hub_6,t_10,0.0
xijt,ic_1,hub_6,t_11,0.0
xijt,ic_1,hub_6,t_12,0.0
xijt,ic_1,hub_6,t_13,0.0
xijt,ic_1,hub_6,t_14,0.0
xijt,ic_1,hub_6,t_15,0.0
xijt,ic_1,hub_6,t_16,0.0
xijt,ic_1,hub_6,t_17,0.0
xijt,ic_1,hub_6,t_18,0.0
xijt,ic_1,hub_6,t_19,0.0
xijt,ic_1,hub_6,t_20,0.0
xijt,ic_1,hub_6,t_21,0.0
xijt,ic_1,hub_6,t_22,0.0
xijt,ic_1,hub_6,t_23,0.0
xijt,ic_1,hub_6,t_24,0.0
xijt,ic_1,hub_6,t_25,0.0
xijt,ic_1,hub_6,t_26,0.0
xijt,ic_1,hub_6,t_27,0.0
xijt,ic_1,hub_6,t_28,0.0
