period,finalinventory,flow,safetyratio,unitdeviation,deviationfromsafetyratio
t_1,3441.0,2375.0,1.45,121.5,0.05
t_2,3571.7,2375.0,1.5,9.2,0.0
t_3,3637.8,2501.0,1.45,113.7,0.05
t_4,3670.2,2560.0,1.43,169.8,0.07
t_5,3627.9,2640.0,1.37,332.1,0.13
t_6,3565.4,2648.0,1.35,406.6,0.15
t_7,3548.2,2573.0,1.38,311.3,0.12
t_8,3571.3,2503.0,1.43,183.2,0.07
t_9,3617.2,2445.0,1.48,50.3,0.02
t_10,3635.4,2420.0,1.5,5.4,0.0
t_11,3669.9,2386.0,1.54,90.9,0.04
t_12,3667.7,2425.0,1.51,30.2,0.01
t_13,3720.3,2401.0,1.55,118.8,0.05
t_14,3883.6,2385.0,1.63,306.1,0.13
t_15,4014.6,2512.0,1.6,246.6,0.1
t_16,3979.3,2773.0,1.44,180.2,0.06
t_17,3982.4,2773.0,1.44,177.1,0.06
t_18,4045.8,2638.0,1.53,88.8,0.03
t_19,4088.5,2701.0,1.51,37.0,0.01
t_20,4119.5,2638.0,1.56,162.5,0.06
t_21,4149.8,2701.0,1.54,98.3,0.04
t_22,4148.4,2638.0,1.57,191.4,0.07
t_23,4142.4,2701.0,1.53,90.9,0.03
t_24,4104.7,2638.0,1.56,147.7,0.06
t_25,4100.4,2623.0,1.56,165.9,0.06
t_26,4087.5,2608.0,1.57,175.5,0.07
t_27,4076.9,2593.0,1.57,187.4,0.07
t_28,4057.8,2578.0,1.57,190.8,0.07
t_29,4057.4,2575.0,1.58,194.9,0.08
t_30,4042.2,2569.0,1.57,188.7,0.07
t_31,4008.2,2557.0,1.57,172.7,0.07
t_32,3995.9,2563.0,1.56,151.4,0.06
t_33,3990.7,2566.0,1.56,141.7,0.06
t_34,3987.6,2566.0,1.55,138.6,0.05
t_35,3983.1,2566.0,1.55,134.1,0.05
t_36,3977.2,2566.0,1.55,128.2,0.05
t_37,3922.8,2537.0,1.55,117.3,0.05
t_38,3938.1,2562.0,1.54,95.1,0.04
t_39,3908.3,2552.0,1.53,80.3,0.03
t_40,3876.4,2537.0,1.53,70.9,0.03
t_41,3902.7,2562.0,1.52,59.7,0.02
t_42,3859.3,2537.0,1.52,53.8,0.02
t_43,3885.6,2562.0,1.52,42.6,0.02
t_44,3848.7,2552.0,1.51,20.7,0.01
t_45,3806.7,2537.0,1.5,1.2,0.0
t_46,3834.4,2562.0,1.5,8.6,0.0
t_47,3792.4,2537.0,1.49,13.1,0.01
t_48,3820.1,2562.0,1.49,22.9,0.01
