ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_1,t_1,579.0,10.0,42,420.0,341.0
ic_1,t_2,604.0,10.5,42,441.0,178.0
ic_1,t_3,636.0,11.0,42,462.0,4.0
ic_1,t_4,487.0,11.5,42,483.0,0.0
ic_1,t_5,504.0,12.0,42,504.0,0.0
ic_1,t_6,524.0,12.5,42,525.0,1.0
ic_1,t_7,488.0,12.0,42,504.0,17.0
ic_1,t_8,500.0,11.5,42,483.0,0.0
ic_1,t_9,495.0,12.0,42,504.0,9.0
ic_1,t_10,534.0,12.5,42,525.0,0.0
ic_1,t_11,518.0,13.0,42,546.0,28.0
ic_1,t_12,595.0,13.5,42,567.0,0.0
ic_1,t_13,588.0,14.0,42,588.0,0.0
ic_1,t_14,579.5,14.5,42,609.0,29.5
ic_1,t_15,659.5,15.0,42,630.0,0.0
ic_1,t_16,651.0,15.5,42,651.0,0.0
ic_1,t_17,672.0,16.0,42,672.0,0.0
ic_1,t_18,690.0,16.5,42,693.0,3.0
ic_1,t_19,717.0,17.0,42,714.0,0.0
ic_1,t_20,699.0,17.0,42,714.0,15.0
ic_1,t_21,717.0,17.0,42,714.0,12.0
ic_1,t_22,699.0,17.0,42,714.0,27.0
ic_1,t_23,717.0,17.5,42,735.0,45.0
ic_1,t_24,699.0,17.0,42,714.0,60.0
ic_1,t_25,695.0,17.5,42,735.0,100.0
ic_1,t_26,691.0,17.5,42,735.0,144.0
ic_1,t_27,687.0,17.0,42,714.0,171.0
ic_1,t_28,683.0,16.5,42,693.0,181.0
ic_1,t_29,685.0,16.5,42,693.0,189.0
ic_1,t_30,684.0,17.0,42,714.0,219.0
ic_1,t_31,683.0,17.5,42,735.0,271.0
ic_1,t_32,682.0,17.5,42,735.0,324.0
ic_1,t_33,683.0,17.0,42,714.0,355.0
ic_1,t_34,683.0,16.5,42,693.0,365.0
ic_1,t_35,683.0,17.0,42,714.0,396.0
ic_1,t_36,683.0,17.5,42,735.0,448.0
ic_1,t_37,676.0,17.0,42,714.0,486.0
ic_1,t_38,683.0,17.5,42,735.0,538.0
ic_1,t_39,680.0,17.0,42,714.0,572.0
ic_1,t_40,677.0,16.5,42,693.0,588.0
ic_1,t_41,684.0,17.0,42,714.0,618.0
ic_1,t_42,676.0,16.5,42,693.0,635.0
ic_1,t_43,683.0,17.0,42,714.0,666.0
ic_1,t_44,680.0,16.5,42,693.0,679.0
ic_1,t_45,677.0,16.0,42,672.0,674.0
ic_1,t_46,684.0,16.5,42,693.0,683.0
ic_1,t_47,676.0,16.0,42,672.0,679.0
ic_1,t_48,683.0,16.5,42,693.0,689.0
ic_2,t_1,180.0,6.0,34,204.0,394.0
ic_2,t_2,171.0,6.25,34,212.5,435.5
ic_2,t_3,180.0,6.5,34,221.0,476.5
ic_2,t_4,351.0,6.5,34,221.0,346.5
ic_2,t_5,332.5,6.25,34,212.5,226.5
ic_2,t_6,351.0,6.0,34,204.0,79.5
ic_2,t_7,269.0,5.75,34,195.5,6.0
ic_2,t_8,162.0,5.5,34,187.0,31.0
ic_2,t_9,158.0,5.25,34,178.5,51.5
ic_2,t_10,163.0,5.0,34,170.0,58.5
ic_2,t_11,159.0,4.75,34,161.5,61.0
ic_2,t_12,164.0,4.5,34,153.0,50.0
ic_2,t_13,160.0,4.75,34,161.5,51.5
ic_2,t_14,144.0,5.0,34,170.0,77.5
ic_2,t_15,154.0,5.25,34,178.5,102.0
ic_2,t_16,168.0,5.5,34,187.0,121.0
ic_2,t_17,185.0,5.25,34,178.5,114.5
ic_2,t_18,176.0,5.0,34,170.0,108.5
ic_2,t_19,185.0,4.75,34,161.5,85.0
ic_2,t_20,176.0,4.5,34,153.0,62.0
ic_2,t_21,185.0,4.75,34,161.5,38.5
ic_2,t_22,176.0,5.0,34,170.0,32.5
ic_2,t_23,185.0,5.25,34,178.5,26.0
ic_2,t_24,176.0,5.0,34,170.0,20.0
ic_2,t_25,175.0,5.25,34,178.5,23.5
ic_2,t_26,174.0,5.5,34,187.0,36.5
ic_2,t_27,173.0,5.75,34,195.5,59.0
ic_2,t_28,172.0,6.0,34,204.0,91.0
ic_2,t_29,171.0,6.25,34,212.5,132.5
ic_2,t_30,170.0,6.5,34,221.0,183.5
ic_2,t_31,169.0,6.25,34,212.5,227.0
ic_2,t_32,171.0,6.0,34,204.0,260.0
ic_2,t_33,171.0,6.25,34,212.5,301.5
ic_2,t_34,171.0,6.0,34,204.0,334.5
ic_2,t_35,171.0,5.75,34,195.5,359.0
ic_2,t_36,171.0,5.5,34,187.0,375.0
ic_2,t_37,169.0,5.25,34,178.5,384.5
ic_2,t_38,172.0,5.5,34,187.0,399.5
ic_2,t_39,170.0,5.25,34,178.5,408.0
ic_2,t_40,168.0,5.0,34,170.0,410.0
ic_2,t_41,171.0,5.25,34,178.5,417.5
ic_2,t_42,169.0,5.0,34,170.0,418.5
ic_2,t_43,172.0,5.25,34,178.5,425.0
ic_2,t_44,170.0,5.25,34,178.5,433.5
ic_2,t_45,168.0,5.5,34,187.0,452.5
ic_2,t_46,171.0,5.75,34,195.5,477.0
ic_2,t_47,169.0,5.5,34,187.0,495.0
ic_2,t_48,172.0,5.75,34,195.5,518.5
ic_3,t_1,140.0,6.0,38,228.0,468.0
ic_3,t_2,147.0,6.2,38,235.6,556.6
ic_3,t_3,155.0,6.4,38,243.20000000000002,644.8
ic_3,t_4,163.0,6.2,38,235.6,717.4
ic_3,t_5,172.0,6.0,38,228.0,773.4
ic_3,t_6,181.0,5.8,38,220.4,812.8
ic_3,t_7,176.0,5.6,38,212.79999999999998,849.6
ic_3,t_8,171.0,5.4,38,205.20000000000002,883.8
ic_3,t_9,166.0,5.2,38,197.6,915.4
ic_3,t_10,162.0,5.0,38,190.0,943.4
ic_3,t_11,158.0,4.8,38,182.4,967.8
ic_3,t_12,163.0,4.6,38,174.79999999999998,979.6
ic_3,t_13,159.0,4.6,38,174.79999999999998,995.4
ic_3,t_14,175.0,4.8,38,182.4,1002.8
ic_3,t_15,184.0,5.0,38,190.0,1008.8
ic_3,t_16,203.0,5.2,38,197.6,1003.4
ic_3,t_17,183.0,5.0,38,190.0,1010.4
ic_3,t_18,174.0,4.8,38,182.4,1018.8
ic_3,t_19,183.0,4.6,38,174.79999999999998,1010.6
ic_3,t_20,174.0,4.4,38,167.20000000000002,1003.8
ic_3,t_21,183.0,4.2,38,159.6,980.4
ic_3,t_22,174.0,4.0,38,152.0,958.4
ic_3,t_23,183.0,4.2,38,159.6,935.0
ic_3,t_24,174.0,4.0,38,152.0,913.0
ic_3,t_25,173.0,3.8,38,144.4,884.4
ic_3,t_26,172.0,3.6,38,136.8,849.2
ic_3,t_27,171.0,3.6,38,136.8,815.0
ic_3,t_28,170.0,3.6,38,136.8,781.8
ic_3,t_29,169.0,3.8,38,144.4,757.2
ic_3,t_30,171.0,3.8,38,144.4,730.6
ic_3,t_31,170.0,3.8,38,144.4,705.0
ic_3,t_32,169.0,4.0,38,152.0,688.0
