period,finalinventory,flow,safetyratio,unitdeviation,deviationfromsafetyratio
t_1,3441.0,2375.0,1.45,121.5,0.05
t_2,3571.7,2375.0,1.5,9.2,0.0
t_3,3671.1,2501.0,1.47,80.4,0.03
t_4,3753.9,2560.0,1.47,86.1,0.03
t_5,3762.0,2640.0,1.42,198.0,0.08
t_6,3749.9,2648.0,1.42,222.1,0.08
t_7,3718.1,2573.0,1.45,141.4,0.05
t_8,3661.6,2503.0,1.46,92.9,0.04
t_9,3610.4,2445.0,1.48,57.1,0.02
t_10,3560.5,2420.0,1.47,69.5,0.03
t_11,3549.9,2386.0,1.49,29.1,0.01
t_12,3515.6,2425.0,1.45,121.9,0.05
t_13,3592.4,2401.0,1.5,9.1,0.0
t_14,3779.9,2385.0,1.58,202.4,0.08
t_15,3935.1,2512.0,1.57,167.1,0.07
t_16,3924.0,2773.0,1.42,235.5,0.08
t_17,3926.7,2773.0,1.42,232.8,0.08
t_18,4031.7,2638.0,1.53,74.7,0.03
t_19,4058.5,2701.0,1.5,7.0,0.0
t_20,4094.6,2638.0,1.55,137.6,0.05
t_21,4066.0,2701.0,1.51,14.5,0.01
t_22,4053.7,2638.0,1.54,96.7,0.04
t_23,4022.9,2701.0,1.49,28.6,0.01
t_24,3960.4,2638.0,1.5,3.4,0.0
t_25,3943.7,2623.0,1.5,9.2,0.0
t_26,3918.3,2608.0,1.5,6.3,0.0
t_27,3900.8,2593.0,1.5,11.3,0.0
t_28,3868.2,2578.0,1.5,1.2,0.0
t_29,3860.7,2575.0,1.5,1.8,0.0
t_30,3848.6,2569.0,1.5,4.9,0.0
t_31,3832.4,2557.0,1.5,3.1,0.0
t_32,3836.8,2563.0,1.5,7.7,0.0
t_33,3846.2,2566.0,1.5,2.8,0.0
t_34,3846.6,2566.0,1.5,2.4,0.0
t_35,3847.3,2566.0,1.5,1.7,0.0
t_36,3850.3,2566.0,1.5,1.3,0.0
t_37,3812.8,2537.0,1.5,7.3,0.0
t_38,3845.0,2562.0,1.5,2.0,0.0
t_39,3821.6,2552.0,1.5,6.4,0.0
t_40,3802.8,2537.0,1.5,2.7,0.0
t_41,3836.1,2562.0,1.5,6.9,0.0
t_42,3807.3,2537.0,1.5,1.8,0.0
t_43,3840.6,2562.0,1.5,2.4,0.0
t_44,3823.8,2552.0,1.5,4.2,0.0
t_45,3806.7,2537.0,1.5,1.2,0.0
t_46,3841.7,2562.0,1.5,1.3,0.0
t_47,3807.0,2537.0,1.5,1.5,0.0
t_48,3842.0,2562.0,1.5,1.0,0.0
