ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_3,t_20,174.0,4.4,38,167.20000000000002,836.6
ic_3,t_21,183.0,4.2,38,159.6,813.2
ic_3,t_22,174.0,4.0,38,152.0,791.2
ic_3,t_23,183.0,3.8,38,144.4,752.6
ic_3,t_24,174.0,3.6,38,136.8,715.4
ic_3,t_25,173.0,3.6,38,136.8,679.2
ic_3,t_26,172.0,3.6,38,136.8,644.0
ic_3,t_27,171.0,3.6,38,136.8,609.8
ic_3,t_28,170.0,3.6,38,136.8,576.6
ic_3,t_29,169.0,3.8,38,144.4,552.0
ic_3,t_30,171.0,4.0,38,152.0,533.0
ic_3,t_31,170.0,4.2,38,159.6,522.6
ic_3,t_32,169.0,4.4,38,167.20000000000002,520.8
ic_3,t_33,170.0,4.6,38,174.79999999999998,525.6
ic_3,t_34,170.0,4.6,38,174.79999999999998,530.4
ic_3,t_35,170.0,4.6,38,174.79999999999998,535.2
ic_3,t_36,170.0,4.4,38,167.20000000000002,532.4
ic_3,t_37,168.0,4.2,38,159.6,524.0
ic_3,t_38,171.0,4.4,38,167.20000000000002,520.2
ic_3,t_39,169.0,4.4,38,167.20000000000002,518.4
ic_3,t_40,172.0,4.4,38,167.20000000000002,513.6
ic_3,t_41,170.0,4.6,38,174.79999999999998,518.4
ic_3,t_42,168.0,4.4,38,167.20000000000002,517.6
ic_3,t_43,171.0,4.6,38,174.79999999999998,521.4
ic_3,t_44,169.0,4.6,38,174.79999999999998,527.2
ic_3,t_45,172.0,4.4,38,167.20000000000002,522.4
ic_3,t_46,170.0,4.6,38,174.79999999999998,527.2
ic_3,t_47,168.0,4.4,38,167.20000000000002,526.4
ic_3,t_48,171.0,4.6,38,174.79999999999998,530.2
ic_4,t_1,300.0,7.0,23,161.0,341.0
ic_4,t_2,158.0,7.5,23,172.5,355.5
ic_4,t_3,166.0,8.0,23,184.0,373.5
ic_4,t_4,276.5,8.5,23,195.5,292.5
ic_4,t_5,368.0,9.0,23,207.0,131.5
ic_4,t_6,350.0,9.5,23,218.5,0.0
ic_4,t_7,230.0,10.0,23,230.0,0.0
ic_4,t_8,241.5,10.5,23,241.5,0.0
ic_4,t_9,229.0,10.0,23,230.0,1.0
ic_4,t_10,191.0,9.5,23,218.5,28.5
ic_4,t_11,162.0,9.0,23,207.0,73.5
ic_4,t_12,158.0,8.5,23,195.5,111.0
ic_4,t_13,163.0,8.0,23,184.0,132.0
ic_4,t_14,147.0,8.5,23,195.5,180.5
ic_4,t_15,155.0,9.0,23,207.0,232.5
ic_4,t_16,171.0,9.5,23,218.5,280.0
ic_4,t_17,189.0,9.5,23,218.5,309.5
ic_4,t_18,180.0,9.0,23,207.0,336.5
ic_4,t_19,171.0,9.5,23,218.5,384.0
ic_4,t_20,180.0,9.0,23,207.0,411.0
ic_4,t_21,171.0,9.0,23,207.0,447.0
ic_4,t_22,180.0,8.5,23,195.5,462.5
ic_4,t_23,171.0,9.0,23,207.0,498.5
ic_4,t_24,180.0,8.5,23,195.5,514.0
ic_4,t_25,179.0,8.0,23,184.0,519.0
ic_4,t_26,178.0,8.0,23,184.0,525.0
ic_4,t_27,177.0,8.0,23,184.0,532.0
ic_4,t_28,176.0,7.5,23,172.5,528.5
ic_4,t_29,175.0,7.0,23,161.0,514.5
ic_4,t_30,174.0,6.5,23,149.5,490.0
ic_4,t_31,173.0,6.5,23,149.5,466.5
ic_4,t_32,172.0,7.0,23,161.0,455.5
ic_4,t_33,172.0,7.5,23,172.5,456.0
ic_4,t_34,172.0,7.5,23,172.5,456.5
ic_4,t_35,172.0,7.5,23,172.5,457.0
ic_4,t_36,172.0,7.5,23,172.5,457.5
ic_4,t_37,170.0,7.0,23,161.0,448.5
ic_4,t_38,168.0,7.5,23,172.5,453.0
ic_4,t_39,171.0,7.0,23,161.0,443.0
