ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_1,t_1,587.0,10.0,42,420.0,333.0
ic_1,t_2,604.0,10.5,42,441.0,170.0
ic_1,t_3,632.0,11.0,42,462.0,0.0
ic_1,t_4,483.0,11.5,42,483.0,0.0
ic_1,t_5,504.0,12.0,42,504.0,0.0
ic_1,t_6,525.0,12.5,42,525.0,0.0
ic_1,t_7,546.0,13.0,42,546.0,0.0
ic_1,t_8,567.0,13.5,42,567.0,0.0
ic_1,t_9,587.0,14.0,42,588.0,1.0
ic_1,t_10,589.0,14.0,42,588.0,0.0
ic_1,t_11,595.0,14.5,42,609.0,14.0
ic_1,t_12,644.0,15.0,42,630.0,0.0
ic_1,t_13,637.0,15.5,42,651.0,14.0
ic_1,t_14,669.0,16.0,42,672.0,17.0
ic_1,t_15,647.0,16.5,42,693.0,63.0
ic_1,t_16,777.0,17.0,42,714.0,0.0
ic_1,t_17,735.0,17.5,42,735.0,0.0
ic_1,t_18,699.0,17.5,42,735.0,36.0
ic_1,t_19,717.0,17.0,42,714.0,33.0
ic_1,t_20,699.0,16.5,42,693.0,27.0
ic_1,t_21,717.0,17.0,42,714.0,24.0
ic_1,t_22,699.0,16.5,42,693.0,18.0
ic_1,t_23,717.0,17.0,42,714.0,15.0
ic_1,t_24,699.0,16.5,42,693.0,9.0
ic_1,t_25,695.0,17.0,42,714.0,28.0
ic_1,t_26,691.0,17.5,42,735.0,72.0
ic_1,t_27,687.0,17.5,42,735.0,120.0
ic_1,t_28,683.0,17.5,42,735.0,172.0
ic_1,t_29,685.0,17.5,42,735.0,222.0
ic_1,t_30,684.0,18.0,42,756.0,294.0
ic_1,t_31,683.0,18.0,42,756.0,367.0
ic_1,t_32,682.0,18.0,42,756.0,441.0
ic_1,t_33,683.0,17.5,42,735.0,493.0
ic_1,t_34,683.0,17.5,42,735.0,545.0
ic_1,t_35,683.0,17.0,42,714.0,576.0
ic_1,t_36,683.0,16.5,42,693.0,586.0
ic_1,t_37,676.0,16.0,42,672.0,582.0
ic_1,t_38,683.0,16.5,42,693.0,592.0
ic_1,t_39,680.0,16.0,42,672.0,584.0
ic_1,t_40,677.0,16.0,42,672.0,579.0
ic_1,t_41,684.0,16.5,42,693.0,588.0
ic_1,t_42,676.0,16.0,42,672.0,584.0
ic_1,t_43,683.0,16.5,42,693.0,594.0
ic_1,t_44,680.0,16.0,42,672.0,586.0
ic_1,t_45,677.0,16.0,42,672.0,581.0
ic_1,t_46,684.0,16.5,42,693.0,590.0
ic_1,t_47,676.0,16.0,42,672.0,586.0
ic_1,t_48,683.0,16.5,42,693.0,596.0
ic_2,t_1,180.0,6.0,34,204.0,394.0
ic_2,t_2,171.0,6.25,34,212.5,435.5
ic_2,t_3,184.0,6.5,34,221.0,472.5
ic_2,t_4,183.0,6.25,34,212.5,502.0
ic_2,t_5,180.0,6.0,34,204.0,526.0
ic_2,t_6,200.0,5.75,34,195.5,521.5
ic_2,t_7,166.0,5.5,34,187.0,542.5
ic_2,t_8,162.0,5.25,34,178.5,559.0
ic_2,t_9,158.0,5.0,34,170.0,571.0
ic_2,t_10,163.0,4.75,34,161.5,569.5
ic_2,t_11,159.0,4.5,34,153.0,563.5
ic_2,t_12,164.0,4.25,34,144.5,544.0
ic_2,t_13,160.0,4.0,34,136.0,520.0
ic_2,t_14,144.0,4.25,34,144.5,520.5
ic_2,t_15,152.0,4.5,34,153.0,521.5
ic_2,t_16,168.0,4.75,34,161.5,515.0
ic_2,t_17,185.0,5.0,34,170.0,500.0
ic_2,t_18,176.0,4.75,34,161.5,485.5
ic_2,t_19,185.0,5.0,34,170.0,470.5
ic_2,t_20,176.0,4.75,34,161.5,456.0
ic_2,t_21,185.0,5.0,34,170.0,441.0
ic_2,t_22,176.0,4.75,34,161.5,426.5
ic_2,t_23,185.0,5.0,34,170.0,411.5
ic_2,t_24,176.0,4.75,34,161.5,397.0
ic_2,t_25,175.0,5.0,34,170.0,392.0
ic_2,t_26,174.0,4.75,34,161.5,379.5
ic_2,t_27,173.0,5.0,34,170.0,376.5
ic_2,t_28,172.0,5.25,34,178.5,383.0
ic_2,t_29,171.0,5.5,34,187.0,399.0
ic_2,t_30,170.0,5.75,34,195.5,424.5
ic_2,t_31,169.0,5.75,34,195.5,451.0
ic_2,t_32,171.0,5.5,34,187.0,467.0
ic_2,t_33,171.0,5.5,34,187.0,483.0
ic_2,t_34,171.0,5.25,34,178.5,490.5
ic_2,t_35,171.0,5.5,34,187.0,506.5
ic_2,t_36,171.0,5.5,34,187.0,522.5
ic_2,t_37,169.0,5.25,34,178.5,532.0
ic_2,t_38,172.0,5.5,34,187.0,547.0
ic_2,t_39,170.0,5.25,34,178.5,555.5
ic_2,t_40,168.0,5.0,34,170.0,557.5
ic_2,t_41,171.0,5.25,34,178.5,565.0
ic_2,t_42,169.0,5.0,34,170.0,566.0
ic_2,t_43,172.0,5.25,34,178.5,572.5
ic_2,t_44,170.0,5.0,34,170.0,572.5
ic_2,t_45,168.0,4.75,34,161.5,566.0
ic_2,t_46,171.0,5.0,34,170.0,565.0
ic_2,t_47,169.0,4.75,34,161.5,557.5
ic_2,t_48,172.0,5.0,34,170.0,555.5
ic_3,t_1,140.0,6.0,38,228.0,468.0
ic_3,t_2,147.0,6.2,38,235.6,556.6
ic_3,t_3,155.0,6.4,38,243.20000000000002,644.8
ic_3,t_4,163.0,6.2,38,235.6,717.4
ic_3,t_5,172.0,6.0,38,228.0,773.4
ic_3,t_6,181.0,5.8,38,220.4,812.8
ic_3,t_7,176.0,5.6,38,212.79999999999998,849.6
ic_3,t_8,171.0,5.4,38,205.20000000000002,883.8
ic_3,t_9,166.0,5.2,38,197.6,915.4
ic_3,t_10,162.0,5.0,38,190.0,943.4
ic_3,t_11,158.0,4.8,38,182.4,967.8
ic_3,t_12,163.0,4.6,38,174.79999999999998,979.6
ic_3,t_13,159.0,4.4,38,167.20000000000002,987.8
ic_3,t_14,175.0,4.4,38,167.20000000000002,980.0
ic_3,t_15,184.0,4.6,38,174.79999999999998,970.8
ic_3,t_16,203.0,4.8,38,182.4,950.2
ic_3,t_17,183.0,5.0,38,190.0,957.2
ic_3,t_18,174.0,4.8,38,182.4,965.6
ic_3,t_19,183.0,4.6,38,174.79999999999998,957.4
ic_3,t_20,174.0,4.4,38,167.20000000000002,950.6
ic_3,t_21,183.0,4.2,38,159.6,927.2
ic_3,t_22,174.0,4.0,38,152.0,905.2
ic_3,t_23,183.0,3.8,38,144.4,866.6
ic_3,t_24,174.0,3.6,38,136.8,829.4
ic_3,t_25,173.0,3.4,38,129.2,785.6
ic_3,t_26,172.0,3.2,38,121.60000000000001,735.2
ic_3,t_27,171.0,3.4,38,129.2,693.4
ic_3,t_28,170.0,3.4,38,129.2,652.6
ic_3,t_29,169.0,3.6,38,136.8,620.4
ic_3,t_30,171.0,3.6,38,136.8,586.2
ic_3,t_31,170.0,3.8,38,144.4,560.6
ic_3,t_32,169.0,4.0,38,152.0,543.6
ic_3,t_33,170.0,4.2,38,159.6,533.2
ic_3,t_34,170.0,4.2,38,159.6,522.8
ic_3,t_35,170.0,4.4,38,167.20000000000002,520.0
ic_3,t_36,170.0,4.6,38,174.79999999999998,524.8
ic_3,t_37,168.0,4.4,38,167.20000000000002,524.0
ic_3,t_38,171.0,4.6,38,174.79999999999998,527.8
ic_3,t_39,169.0,4.4,38,167.20000000000002,526.0
ic_3,t_40,172.0,4.4,38,167.20000000000002,521.2
ic_3,t_41,170.0,4.4,38,167.20000000000002,518.4
ic_3,t_42,168.0,4.4,38,167.20000000000002,517.6
ic_3,t_43,171.0,4.6,38,174.79999999999998,521.4
ic_3,t_44,169.0,4.6,38,174.79999999999998,527.2
ic_3,t_45,172.0,4.4,38,167.20000000000002,522.4
ic_3,t_46,170.0,4.6,38,174.79999999999998,527.2
ic_3,t_47,168.0,4.4,38,167.20000000000002,526.4
ic_3,t_48,171.0,4.6,38,174.79999999999998,530.2
ic_4,t_1,153.0,7.0,23,161.0,488.0
ic_4,t_2,158.0,7.5,23,172.5,502.5
ic_4,t_3,166.0,8.0,23,184.0,520.5
ic_4,t_4,350.0,8.5,23,195.5,366.0
ic_4,t_5,367.0,9.0,23,207.0,206.0
ic_4,t_6,325.0,9.5,23,218.5,99.5
ic_4,t_7,308.0,10.0,23,230.0,21.5
ic_4,t_8,263.0,10.5,23,241.5,0.0
ic_4,t_9,230.0,10.0,23,230.0,0.0
ic_4,t_10,218.5,9.5,23,218.5,0.0
ic_4,t_11,207.0,9.0,23,207.0,0.0
ic_4,t_12,158.0,8.5,23,195.5,37.5
ic_4,t_13,163.0,8.0,23,184.0,58.5
ic_4,t_14,169.5,8.5,23,195.5,84.5
ic_4,t_15,212.0,9.0,23,207.0,79.5
ic_4,t_16,171.0,9.5,23,218.5,127.0
ic_4,t_17,196.5,10.0,23,230.0,160.5
ic_4,t_18,180.0,10.5,23,241.5,222.0
ic_4,t_19,171.0,10.0,23,230.0,281.0
ic_4,t_20,180.0,9.5,23,218.5,319.5
ic_4,t_21,171.0,10.0,23,230.0,378.5
ic_4,t_22,180.0,9.5,23,218.5,417.0
ic_4,t_23,171.0,10.0,23,230.0,476.0
ic_4,t_24,180.0,9.5,23,218.5,514.5
ic_4,t_25,179.0,9.0,23,207.0,542.5
ic_4,t_26,178.0,8.5,23,195.5,560.0
ic_4,t_27,177.0,8.0,23,184.0,567.0
ic_4,t_28,176.0,7.5,23,172.5,563.5
ic_4,t_29,175.0,7.0,23,161.0,549.5
ic_4,t_30,174.0,6.5,23,149.5,525.0
ic_4,t_31,173.0,6.5,23,149.5,501.5
ic_4,t_32,172.0,6.5,23,149.5,479.0
ic_4,t_33,172.0,6.5,23,149.5,456.5
ic_4,t_34,172.0,6.5,23,149.5,434.0
ic_4,t_35,172.0,7.0,23,161.0,423.0
ic_4,t_36,172.0,7.5,23,172.5,423.5
ic_4,t_37,170.0,7.0,23,161.0,414.5
ic_4,t_38,168.0,7.5,23,172.5,419.0
ic_4,t_39,171.0,7.5,23,172.5,420.5
ic_4,t_40,169.0,7.5,23,172.5,424.0
ic_4,t_41,172.0,8.0,23,184.0,436.0
ic_4,t_42,170.0,7.5,23,172.5,438.5
ic_4,t_43,168.0,8.0,23,184.0,454.5
ic_4,t_44,171.0,7.5,23,172.5,456.0
ic_4,t_45,169.0,7.0,23,161.0,448.0
ic_4,t_46,172.0,7.5,23,172.5,448.5
ic_4,t_47,170.0,7.0,23,161.0,439.5
ic_4,t_48,168.0,7.5,23,172.5,444.0
ic_5,t_1,500.0,12.0,40,480.0,480.0
ic_5,t_2,491.0,12.25,40,490.0,479.0
ic_5,t_3,517.0,12.5,40,500.0,462.0
ic_5,t_4,526.0,12.75,40,510.0,446.0
ic_5,t_5,535.0,12.5,40,500.0,411.0
ic_5,t_6,526.0,12.25,40,490.0,375.0
ic_5,t_7,511.0,12.0,40,480.0,344.0
ic_5,t_8,497.0,11.75,40,470.0,317.0
ic_5,t_9,484.0,11.5,40,460.0,293.0
ic_5,t_10,481.0,11.25,40,450.0,262.0
ic_5,t_11,478.0,11.0,40,440.0,224.0
ic_5,t_12,484.0,11.25,40,450.0,190.0
