ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_1,t_1,575.0,10.0,42,420.0,345.0
ic_1,t_2,284.0,10.5,42,441.0,502.0
ic_1,t_3,470.0,11.0,42,462.0,494.0
ic_1,t_4,615.0,11.5,42,483.0,362.0
ic_1,t_5,687.0,12.0,42,504.0,179.0
ic_1,t_6,704.0,12.5,42,525.0,0.0
ic_1,t_7,504.0,12.0,42,504.0,0.0
ic_1,t_8,525.0,12.5,42,525.0,0.0
ic_1,t_9,546.0,13.0,42,546.0,0.0
ic_1,t_10,567.0,13.5,42,567.0,0.0
ic_1,t_11,578.0,14.0,42,588.0,10.0
ic_1,t_12,619.0,14.5,42,609.0,0.0
ic_1,t_13,630.0,15.0,42,630.0,0.0
ic_1,t_14,606.5,15.5,42,651.0,44.5
ic_1,t_15,704.0,16.0,42,672.0,12.5
ic_1,t_16,705.5,16.5,42,693.0,0.0
ic_1,t_17,714.0,17.0,42,714.0,0.0
ic_1,t_18,699.0,17.0,42,714.0,15.0
ic_1,t_19,717.0,17.5,42,735.0,33.0
ic_1,t_20,699.0,17.0,42,714.0,48.0
ic_1,t_21,717.0,17.5,42,735.0,66.0
ic_1,t_22,699.0,17.0,42,714.0,81.0
ic_1,t_23,717.0,17.0,42,714.0,78.0
ic_1,t_24,699.0,16.5,42,693.0,72.0
ic_1,t_25,695.0,17.0,42,714.0,91.0
ic_1,t_26,691.0,17.0,42,714.0,114.0
ic_1,t_27,687.0,16.5,42,693.0,120.0
ic_1,t_28,683.0,16.5,42,693.0,130.0
ic_1,t_29,685.0,16.5,42,693.0,138.0
ic_1,t_30,684.0,16.5,42,693.0,147.0
ic_1,t_31,683.0,16.5,42,693.0,157.0
ic_1,t_32,682.0,16.5,42,693.0,168.0
ic_1,t_33,683.0,16.5,42,693.0,178.0
ic_1,t_34,683.0,16.0,42,672.0,167.0
ic_1,t_35,683.0,16.5,42,693.0,177.0
ic_1,t_36,683.0,16.5,42,693.0,187.0
ic_1,t_37,676.0,16.0,42,672.0,183.0
ic_1,t_38,683.0,16.5,42,693.0,193.0
ic_1,t_39,680.0,16.0,42,672.0,185.0
ic_1,t_40,677.0,16.0,42,672.0,180.0
