ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_3,t_21,183.0,4.0,38,152.0,805.6
ic_3,t_22,174.0,3.8,38,144.4,776.0
ic_3,t_23,183.0,3.8,38,144.4,737.4
ic_3,t_24,174.0,3.6,38,136.8,700.2
ic_3,t_25,173.0,3.6,38,136.8,664.0
ic_3,t_26,172.0,3.6,38,136.8,628.8
ic_3,t_27,171.0,3.4,38,129.2,587.0
ic_3,t_28,170.0,3.6,38,136.8,553.8
ic_3,t_29,169.0,3.8,38,144.4,529.2
ic_3,t_30,171.0,4.0,38,152.0,510.2
ic_3,t_31,170.0,4.2,38,159.6,499.8
ic_3,t_32,169.0,4.4,38,167.20000000000002,498.0
ic_3,t_33,170.0,4.4,38,167.20000000000002,495.2
ic_3,t_34,170.0,4.4,38,167.20000000000002,492.4
ic_3,t_35,170.0,4.4,38,167.20000000000002,489.6
ic_3,t_36,170.0,4.4,38,167.20000000000002,486.8
ic_3,t_37,168.0,4.2,38,159.6,478.4
ic_3,t_38,171.0,4.4,38,167.20000000000002,474.6
ic_3,t_39,169.0,4.2,38,159.6,465.2
ic_3,t_40,172.0,4.2,38,159.6,452.8
ic_3,t_41,170.0,4.4,38,167.20000000000002,450.0
ic_3,t_42,168.0,4.2,38,159.6,441.6
ic_3,t_43,171.0,4.4,38,167.20000000000002,437.8
ic_3,t_44,169.0,4.2,38,159.6,428.4
ic_3,t_45,172.0,4.2,38,159.6,416.0
ic_3,t_46,170.0,4.4,38,167.20000000000002,413.2
ic_3,t_47,168.0,4.2,38,159.6,404.8
ic_3,t_48,171.0,4.4,38,167.20000000000002,401.0
ic_4,t_1,300.0,7.0,23,161.0,341.0
ic_4,t_2,158.0,7.5,23,172.5,355.5
ic_4,t_3,166.0,8.0,23,184.0,373.5
ic_4,t_4,178.0,8.5,23,195.5,391.0
ic_4,t_5,367.0,9.0,23,207.0,231.0
ic_4,t_6,350.0,9.5,23,218.5,99.5
ic_4,t_7,308.0,10.0,23,230.0,21.5
ic_4,t_8,263.0,10.5,23,241.5,0.0
ic_4,t_9,230.0,10.0,23,230.0,0.0
ic_4,t_10,187.0,9.5,23,218.5,31.5
ic_4,t_11,165.0,9.0,23,207.0,73.5
ic_4,t_12,158.0,8.5,23,195.5,111.0
ic_4,t_13,163.0,8.5,23,195.5,143.5
ic_4,t_14,147.0,9.0,23,207.0,203.5
ic_4,t_15,155.0,9.5,23,218.5,267.0
ic_4,t_16,171.0,10.0,23,230.0,326.0
ic_4,t_17,189.0,10.0,23,230.0,367.0
ic_4,t_18,180.0,9.5,23,218.5,405.5
ic_4,t_19,171.0,10.0,23,230.0,464.5
ic_4,t_20,180.0,9.5,23,218.5,503.0
ic_4,t_21,171.0,10.0,23,230.0,562.0
ic_4,t_22,180.0,9.5,23,218.5,600.5
ic_4,t_23,171.0,9.5,23,218.5,648.0
ic_4,t_24,180.0,9.0,23,207.0,675.0
ic_4,t_25,179.0,8.5,23,195.5,691.5
ic_4,t_26,178.0,8.0,23,184.0,697.5
ic_4,t_27,177.0,7.5,23,172.5,693.0
ic_4,t_28,176.0,7.0,23,161.0,678.0
ic_4,t_29,175.0,6.5,23,149.5,652.5
ic_4,t_30,174.0,6.5,23,149.5,628.0
ic_4,t_31,173.0,6.5,23,149.5,604.5
ic_4,t_32,172.0,7.0,23,161.0,593.5
ic_4,t_33,172.0,7.5,23,172.5,594.0
ic_4,t_34,172.0,7.5,23,172.5,594.5
ic_4,t_35,172.0,7.5,23,172.5,595.0
ic_4,t_36,172.0,7.5,23,172.5,595.5
ic_4,t_37,170.0,7.0,23,161.0,586.5
ic_4,t_38,168.0,7.5,23,172.5,591.0
ic_4,t_39,171.0,7.0,23,161.0,581.0
ic_4,t_40,169.0,7.5,23,172.5,584.5
ic_4,t_41,172.0,7.5,23,172.5,585.0
ic_4,t_42,170.0,7.0,23,161.0,576.0
ic_4,t_43,168.0,7.5,23,172.5,580.5
ic_4,t_44,171.0,7.5,23,172.5,582.0
ic_4,t_45,169.0,7.0,23,161.0,574.0
ic_4,t_46,172.0,7.5,23,172.5,574.5
ic_4,t_47,170.0,7.0,23,161.0,565.5
ic_4,t_48,168.0,7.5,23,172.5,570.0
ic_5,t_1,500.0,12.0,40,480.0,480.0
ic_5,t_2,491.0,12.25,40,490.0,479.0
ic_5,t_3,517.0,12.5,40,500.0,462.0
ic_5,t_4,526.0,12.75,40,510.0,446.0
ic_5,t_5,535.0,12.5,40,500.0,411.0
ic_5,t_6,526.0,12.25,40,490.0,375.0
ic_5,t_7,511.0,12.0,40,480.0,344.0
ic_5,t_8,497.0,11.75,40,470.0,317.0
ic_5,t_9,484.0,11.5,40,460.0,293.0
ic_5,t_10,481.0,11.25,40,450.0,262.0
ic_5,t_11,478.0,11.0,40,440.0,224.0
ic_5,t_12,484.0,11.25,40,450.0,190.0
ic_5,t_13,481.0,11.5,40,460.0,169.0
ic_5,t_14,465.0,11.75,40,470.0,174.0
ic_5,t_15,490.0,12.0,40,480.0,164.0
ic_5,t_16,541.0,12.25,40,490.0,113.0
ic_5,t_17,556.0,12.5,40,500.0,57.0
ic_5,t_18,529.0,12.75,40,510.0,38.0
ic_5,t_19,538.0,13.0,40,520.0,20.0
ic_5,t_20,529.0,13.25,40,530.0,21.0
ic_5,t_21,538.0,13.5,40,540.0,23.0
ic_5,t_22,529.0,13.25,40,530.0,24.0
ic_5,t_23,538.0,13.5,40,540.0,26.0
ic_5,t_24,529.0,13.25,40,530.0,27.0
ic_5,t_25,526.0,13.5,40,540.0,41.0
ic_5,t_26,523.0,13.75,40,550.0,68.0
ic_5,t_27,520.0,14.0,40,560.0,108.0
ic_5,t_28,517.0,14.25,40,570.0,161.0
ic_5,t_29,517.0,14.5,40,580.0,224.0
ic_5,t_30,514.0,14.5,40,580.0,290.0
ic_5,t_31,511.0,14.25,40,570.0,349.0
ic_5,t_32,514.0,14.0,40,560.0,395.0
ic_5,t_33,514.0,13.75,40,550.0,431.0
ic_5,t_34,514.0,13.5,40,540.0,457.0
ic_5,t_35,514.0,13.25,40,530.0,473.0
ic_5,t_36,514.0,13.0,40,520.0,479.0
ic_5,t_37,508.0,12.75,40,510.0,481.0
ic_5,t_38,512.0,13.0,40,520.0,489.0
ic_5,t_39,511.0,12.75,40,510.0,488.0
ic_5,t_40,505.0,12.5,40,500.0,483.0
ic_5,t_41,514.0,12.75,40,510.0,479.0
