ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_1,t_1,440.0,10.0,42,420.0,480.0
ic_1,t_2,557.0,10.5,42,441.0,364.0
ic_1,t_3,636.0,11.0,42,462.0,190.0
ic_1,t_4,670.0,11.5,42,483.0,3.0
ic_1,t_5,503.0,12.0,42,504.0,4.0
ic_1,t_6,529.0,12.5,42,525.0,0.0
ic_1,t_7,546.0,13.0,42,546.0,0.0
ic_1,t_8,567.0,13.5,42,567.0,0.0
ic_1,t_9,574.5,14.0,42,588.0,13.5
ic_1,t_10,601.5,14.0,42,588.0,0.0
ic_1,t_11,609.0,14.5,42,609.0,0.0
ic_1,t_12,630.0,15.0,42,630.0,0.0
ic_1,t_13,637.0,15.5,42,651.0,14.0
ic_1,t_14,643.5,16.0,42,672.0,42.5
ic_1,t_15,675.0,16.5,42,693.0,60.5
ic_1,t_16,774.5,17.0,42,714.0,0.0
ic_1,t_17,735.0,17.5,42,735.0,0.0
ic_1,t_18,699.0,17.5,42,735.0,36.0
ic_1,t_19,717.0,18.0,42,756.0,75.0
ic_1,t_20,699.0,17.5,42,735.0,111.0
ic_1,t_21,717.0,18.0,42,756.0,150.0
ic_1,t_22,699.0,18.0,42,756.0,207.0
ic_1,t_23,717.0,18.5,42,777.0,267.0
ic_1,t_24,699.0,18.0,42,756.0,324.0
ic_1,t_25,695.0,18.0,42,756.0,385.0
ic_1,t_26,691.0,17.5,42,735.0,429.0
ic_1,t_27,687.0,17.0,42,714.0,456.0
ic_1,t_28,683.0,16.5,42,693.0,466.0
ic_1,t_29,685.0,16.5,42,693.0,474.0
ic_1,t_30,684.0,16.0,42,672.0,462.0
ic_1,t_31,683.0,15.5,42,651.0,430.0
ic_1,t_32,682.0,16.0,42,672.0,420.0
ic_1,t_33,683.0,16.0,42,672.0,409.0
ic_1,t_34,683.0,16.5,42,693.0,419.0
ic_1,t_35,683.0,16.5,42,693.0,429.0
ic_1,t_36,683.0,16.5,42,693.0,439.0
ic_1,t_37,676.0,16.0,42,672.0,435.0
ic_1,t_38,683.0,16.5,42,693.0,445.0
ic_1,t_39,680.0,16.0,42,672.0,437.0
ic_1,t_40,677.0,16.0,42,672.0,432.0
ic_1,t_41,684.0,16.5,42,693.0,441.0
ic_1,t_42,676.0,16.0,42,672.0,437.0
ic_1,t_43,683.0,16.5,42,693.0,447.0
ic_1,t_44,680.0,16.0,42,672.0,439.0
ic_1,t_45,677.0,16.0,42,672.0,434.0
ic_1,t_46,684.0,16.5,42,693.0,443.0
ic_1,t_47,676.0,16.0,42,672.0,439.0
ic_1,t_48,683.0,16.5,42,693.0,449.0
ic_2,t_1,180.0,6.0,34,204.0,394.0
ic_2,t_2,171.0,6.25,34,212.5,435.5
ic_2,t_3,180.0,6.5,34,221.0,476.5
ic_2,t_4,171.0,6.25,34,212.5,518.0
ic_2,t_5,180.0,6.0,34,204.0,542.0
ic_2,t_6,171.0,5.75,34,195.5,566.5
ic_2,t_7,189.5,5.5,34,187.0,564.0
ic_2,t_8,206.5,5.25,34,178.5,536.0
ic_2,t_9,193.5,5.0,34,170.0,512.5
ic_2,t_10,163.0,4.75,34,161.5,511.0
ic_2,t_11,161.0,4.5,34,153.0,503.0
ic_2,t_12,165.5,4.25,34,144.5,482.0
ic_2,t_13,160.0,4.0,34,136.0,458.0
ic_2,t_14,144.0,4.25,34,144.5,458.5
ic_2,t_15,152.0,4.5,34,153.0,459.5
ic_2,t_16,168.0,4.75,34,161.5,453.0
ic_2,t_17,185.0,4.75,34,161.5,429.5
ic_2,t_18,176.0,4.5,34,153.0,406.5
ic_2,t_19,185.0,4.25,34,144.5,366.0
ic_2,t_20,176.0,4.0,34,136.0,326.0
ic_2,t_21,185.0,4.25,34,144.5,285.5
ic_2,t_22,176.0,4.0,34,136.0,245.5
ic_2,t_23,185.0,4.25,34,144.5,205.0
ic_2,t_24,176.0,4.0,34,136.0,165.0
ic_2,t_25,175.0,4.25,34,144.5,134.5
ic_2,t_26,174.0,4.5,34,153.0,113.5
ic_2,t_27,173.0,4.75,34,161.5,102.0
ic_2,t_28,172.0,5.0,34,170.0,100.0
ic_2,t_29,171.0,5.25,34,178.5,107.5
ic_2,t_30,170.0,5.5,34,187.0,124.5
ic_2,t_31,169.0,5.75,34,195.5,151.0
ic_2,t_32,171.0,5.75,34,195.5,175.5
ic_2,t_33,171.0,6.0,34,204.0,208.5
ic_2,t_34,171.0,6.0,34,204.0,241.5
ic_2,t_35,171.0,5.75,34,195.5,266.0
ic_2,t_36,171.0,5.5,34,187.0,282.0
ic_2,t_37,169.0,5.25,34,178.5,291.5
ic_2,t_38,172.0,5.5,34,187.0,306.5
ic_2,t_39,170.0,5.25,34,178.5,315.0
ic_2,t_40,168.0,5.0,34,170.0,317.0
ic_2,t_41,171.0,5.25,34,178.5,324.5
ic_2,t_42,169.0,5.0,34,170.0,325.5
ic_2,t_43,172.0,5.25,34,178.5,332.0
