period,finalinventory,flow,safetyratio,unitdeviation,deviationfromsafetyratio
t_1,3441.0,2375.0,1.45,121.5,0.05
t_2,3571.7,2375.0,1.5,9.2,0.0
t_3,3651.1,2501.0,1.46,100.4,0.04
t_4,3696.8,2560.0,1.44,143.2,0.06
t_5,3667.8,2640.0,1.39,292.2,0.11
t_6,3618.6,2648.0,1.37,353.4,0.13
t_7,3614.7,2573.0,1.4,244.8,0.1
t_8,3651.1,2503.0,1.46,103.4,0.04
t_9,3692.8,2445.0,1.51,25.3,0.01
t_10,3724.3,2420.0,1.54,94.3,0.04
t_11,3772.1,2386.0,1.58,193.1,0.08
t_12,3783.2,2425.0,1.56,145.7,0.06
t_13,3820.6,2401.0,1.59,219.1,0.09
t_14,3897.8,2385.0,1.63,320.3,0.13
t_15,3942.7,2512.0,1.57,174.7,0.07
t_16,3821.3,2773.0,1.38,338.2,0.12
t_17,3794.6,2773.0,1.37,364.9,0.13
t_18,3955.2,2638.0,1.5,1.8,0.0
t_19,4004.1,2701.0,1.48,47.4,0.02
t_20,4041.3,2638.0,1.53,84.3,0.03
t_21,4046.8,2701.0,1.5,4.7,0.0
t_22,4020.6,2638.0,1.52,63.6,0.02
t_23,4008.9,2701.0,1.48,42.6,0.02
t_24,3965.5,2638.0,1.5,8.5,0.0
t_25,3938.9,2623.0,1.5,4.4,0.0
t_26,3907.1,2608.0,1.5,4.9,0.0
t_27,3885.1,2593.0,1.5,4.4,0.0
t_28,3855.6,2578.0,1.5,11.4,0.0
t_29,3835.1,2575.0,1.49,27.4,0.01
t_30,3801.5,2569.0,1.48,52.0,0.02
t_31,3758.8,2557.0,1.47,76.7,0.03
t_32,3749.2,2563.0,1.46,95.3,0.04
t_33,3742.3,2566.0,1.46,106.7,0.04
t_34,3723.1,2566.0,1.45,125.9,0.05
t_35,3699.6,2566.0,1.44,149.4,0.06
t_36,3683.8,2566.0,1.44,165.2,0.06
t_37,3640.5,2537.0,1.43,165.0,0.07
t_38,3666.9,2562.0,1.43,176.1,0.07
t_39,3645.8,2552.0,1.43,182.2,0.07
t_40,3618.4,2537.0,1.43,187.1,0.07
t_41,3652.2,2562.0,1.43,190.8,0.07
t_42,3616.3,2537.0,1.43,189.2,0.07
t_43,3650.1,2562.0,1.42,192.9,0.08
t_44,3627.9,2552.0,1.42,200.1,0.08
t_45,3590.7,2537.0,1.42,214.8,0.08
t_46,3611.7,2562.0,1.41,231.3,0.09
t_47,3563.0,2537.0,1.4,242.5,0.1
t_48,3584.0,2562.0,1.4,259.0,0.1
