ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_1,t_1,420.0,10.0,42,420.0,500.0
ic_1,t_2,577.0,10.5,42,441.0,364.0
ic_1,t_3,636.0,11.0,42,462.0,190.0
ic_1,t_4,495.0,11.5,42,483.0,178.0
ic_1,t_5,503.0,12.0,42,504.0,179.0
ic_1,t_6,704.0,12.5,42,525.0,0.0
ic_1,t_7,546.0,13.0,42,546.0,0.0
ic_1,t_8,567.0,13.5,42,567.0,0.0
ic_1,t_9,588.0,14.0,42,588.0,0.0
ic_1,t_10,606.0,14.5,42,609.0,3.0
ic_1,t_11,633.0,15.0,42,630.0,0.0
ic_1,t_12,623.0,15.5,42,651.0,28.0
ic_1,t_13,637.0,16.0,42,672.0,63.0
ic_1,t_14,669.0,16.5,42,693.0,87.0
ic_1,t_15,704.0,17.0,42,714.0,97.0
ic_1,t_16,777.0,17.5,42,735.0,55.0
ic_1,t_17,735.0,18.0,42,756.0,76.0
ic_1,t_18,699.0,18.5,42,777.0,154.0
ic_1,t_19,717.0,18.0,42,756.0,193.0
ic_1,t_20,699.0,17.5,42,735.0,229.0
ic_1,t_21,717.0,17.5,42,735.0,247.0
ic_1,t_22,699.0,17.0,42,714.0,262.0
ic_1,t_23,717.0,17.5,42,735.0,280.0
ic_1,t_24,699.0,17.0,42,714.0,295.0
ic_1,t_25,695.0,17.5,42,735.0,335.0
ic_1,t_26,691.0,17.0,42,714.0,358.0
ic_1,t_27,687.0,17.0,42,714.0,385.0
ic_1,t_28,683.0,16.5,42,693.0,395.0
ic_1,t_29,685.0,16.5,42,693.0,403.0
ic_1,t_30,684.0,16.5,42,693.0,412.0
ic_1,t_31,683.0,16.0,42,672.0,401.0
ic_1,t_32,682.0,16.5,42,693.0,412.0
ic_1,t_33,683.0,16.0,42,672.0,401.0
ic_1,t_34,683.0,16.0,42,672.0,390.0
ic_1,t_35,683.0,15.5,42,651.0,358.0
ic_1,t_36,683.0,15.5,42,651.0,326.0
ic_1,t_37,676.0,15.5,42,651.0,301.0
ic_1,t_38,683.0,16.0,42,672.0,290.0
ic_1,t_39,680.0,15.5,42,651.0,261.0
ic_1,t_40,677.0,15.5,42,651.0,235.0
ic_1,t_41,684.0,16.0,42,672.0,223.0
ic_1,t_42,676.0,15.5,42,651.0,198.0
ic_1,t_43,683.0,16.0,42,672.0,187.0
ic_1,t_44,680.0,15.5,42,651.0,158.0
ic_1,t_45,677.0,15.0,42,630.0,111.0
ic_1,t_46,684.0,15.5,42,651.0,78.0
ic_1,t_47,676.0,15.0,42,630.0,32.0
ic_1,t_48,683.0,15.5,42,651.0,0.0
ic_2,t_1,200.0,6.0,34,204.0,374.0
ic_2,t_2,174.5,6.25,34,212.5,412.0
ic_2,t_3,180.0,6.5,34,221.0,453.0
ic_2,t_4,171.0,6.25,34,212.5,494.5
ic_2,t_5,180.0,6.0,34,204.0,518.5
ic_2,t_6,171.0,5.75,34,195.5,543.0
ic_2,t_7,166.0,5.5,34,187.0,564.0
ic_2,t_8,183.5,5.25,34,178.5,559.0
ic_2,t_9,158.0,5.0,34,170.0,571.0
ic_2,t_10,163.0,4.75,34,161.5,569.5
ic_2,t_11,159.0,4.5,34,153.0,563.5
ic_2,t_12,164.0,4.25,34,144.5,544.0
ic_2,t_13,160.0,4.0,34,136.0,520.0
ic_2,t_14,144.0,3.75,34,127.5,503.5
ic_2,t_15,152.0,4.0,34,136.0,487.5
ic_2,t_16,168.0,4.25,34,144.5,464.0
ic_2,t_17,185.0,4.5,34,153.0,432.0
ic_2,t_18,176.0,4.75,34,161.5,417.5
ic_2,t_19,185.0,4.75,34,161.5,394.0
ic_2,t_20,176.0,4.5,34,153.0,371.0
ic_2,t_21,185.0,4.75,34,161.5,347.5
